Device: cuda
Dataset lenght: 39890
Batch size: 4
EPOCH 0 started==============================
sum_loss: 3.889890193939209
sum_loss: 7.459330081939697
sum_loss: 11.102115631103516
sum_loss: 14.40087890625
sum_loss: 18.13742446899414
sum_loss: 21.980539321899414
sum_loss: 25.83199119567871
sum_loss: 29.681503295898438
sum_loss: 32.7595100402832
sum_loss: 35.95811080932617
sum_loss: 39.40534210205078
sum_loss: 43.413429260253906
sum_loss: 47.48703384399414
sum_loss: 51.69586181640625
sum_loss: 55.14402770996094
sum_loss: 58.43449020385742
sum_loss: 61.93421936035156
sum_loss: 65.88651275634766
sum_loss: 69.19062042236328
sum_loss: 72.35371398925781
sum_loss: 75.85026550292969
sum_loss: 79.14337158203125
sum_loss: 82.75592803955078
sum_loss: 86.4097671508789
sum_loss: 89.66915130615234
sum_loss: 93.19841766357422
sum_loss: 96.8606185913086
sum_loss: 100.01992797851562
sum_loss: 103.09835052490234
sum_loss: 106.49004364013672
sum_loss: 109.9813232421875
sum_loss: 113.36823272705078
sum_loss: 116.0724105834961
sum_loss: 119.5479965209961
sum_loss: 122.73652648925781
sum_loss: 126.25930786132812
sum_loss: 129.5151824951172
sum_loss: 132.7849884033203
sum_loss: 136.11026000976562
sum_loss: 139.15237426757812
sum_loss: 142.432373046875
sum_loss: 145.71096801757812
sum_loss: 148.8131561279297
sum_loss: 151.59811401367188
sum_loss: 154.4214324951172
sum_loss: 157.58311462402344
sum_loss: 160.2357177734375
sum_loss: 163.2801971435547
sum_loss: 166.0908660888672
sum_loss: 169.5076446533203
sum_loss: 173.03318786621094
sum_loss: 176.96469116210938
sum_loss: 180.54908752441406
sum_loss: 184.5126190185547
sum_loss: 187.72254943847656
sum_loss: 191.3637237548828
sum_loss: 195.46917724609375
sum_loss: 198.8389434814453
sum_loss: 202.29493713378906
sum_loss: 206.18272399902344
sum_loss: 209.53196716308594
sum_loss: 213.86138916015625
sum_loss: 217.54444885253906
sum_loss: 221.35263061523438
sum_loss: 225.0408172607422
sum_loss: 228.26678466796875
sum_loss: 232.18295288085938
sum_loss: 236.313232421875
sum_loss: 240.17147827148438
sum_loss: 244.4581298828125
sum_loss: 248.48709106445312
sum_loss: 252.1887664794922
sum_loss: 256.3149108886719
sum_loss: 260.1539611816406
sum_loss: 264.2389831542969
sum_loss: 268.57330322265625
sum_loss: 272.6021728515625
sum_loss: 276.3173828125
sum_loss: 279.4787902832031
sum_loss: 282.7653503417969
sum_loss: 285.6271667480469
sum_loss: 288.58380126953125
sum_loss: 291.482421875
sum_loss: 294.6344909667969
sum_loss: 297.5056457519531
sum_loss: 300.8420104980469
sum_loss: 303.8432312011719
sum_loss: 306.6792907714844
sum_loss: 310.0985107421875
sum_loss: 314.1364440917969
