Device: cuda
Dataset lenght: 39890
Batch size: 4
EPOCH 0 started==============================
sum_loss: 3.6621756553649902
sum_loss: 7.280025959014893
sum_loss: 11.549958229064941
sum_loss: 15.309761047363281
sum_loss: 18.906021118164062
sum_loss: 22.229347229003906
sum_loss: 26.21757698059082
sum_loss: 29.710384368896484
sum_loss: 33.506309509277344
sum_loss: 37.08586883544922
sum_loss: 40.9365348815918
sum_loss: 44.29472732543945
sum_loss: 47.78486633300781
sum_loss: 51.12852096557617
sum_loss: 54.4508056640625
sum_loss: 58.28645324707031
sum_loss: 61.189727783203125
sum_loss: 64.68608093261719
sum_loss: 68.50560760498047
sum_loss: 72.23989868164062
sum_loss: 75.8066177368164
sum_loss: 79.2357406616211
sum_loss: 82.38092041015625
sum_loss: 85.51192474365234
sum_loss: 89.06124877929688
sum_loss: 92.77462005615234
sum_loss: 96.204833984375
sum_loss: 99.6282958984375
sum_loss: 104.01399993896484
sum_loss: 108.56649017333984
sum_loss: 112.27716827392578
sum_loss: 115.96640014648438
sum_loss: 120.20333099365234
sum_loss: 123.6834487915039
sum_loss: 127.39865112304688
sum_loss: 131.1627960205078
sum_loss: 135.34095764160156
sum_loss: 139.2526092529297
sum_loss: 142.14967346191406
sum_loss: 146.05845642089844
sum_loss: 149.67236328125
sum_loss: 153.4912872314453
sum_loss: 157.63418579101562
sum_loss: 161.0786895751953
sum_loss: 164.89918518066406
sum_loss: 168.73475646972656
sum_loss: 172.58482360839844
sum_loss: 176.59368896484375
sum_loss: 180.32960510253906
sum_loss: 183.7229461669922
sum_loss: 187.29612731933594
sum_loss: 191.2371826171875
sum_loss: 194.974365234375
sum_loss: 197.894775390625
sum_loss: 201.490478515625
sum_loss: 204.4396514892578
sum_loss: 207.2540740966797
sum_loss: 210.5857696533203
sum_loss: 213.87191772460938
sum_loss: 217.05447387695312
sum_loss: 220.32180786132812
sum_loss: 224.69570922851562
sum_loss: 228.59767150878906
sum_loss: 232.13368225097656
sum_loss: 235.4444122314453
sum_loss: 239.05996704101562
sum_loss: 242.8108367919922
sum_loss: 245.85552978515625
sum_loss: 249.07296752929688
sum_loss: 252.79075622558594
sum_loss: 256.3014221191406
sum_loss: 259.8082580566406
sum_loss: 263.2696533203125
sum_loss: 267.08087158203125
sum_loss: 270.9814758300781
sum_loss: 275.1924743652344
sum_loss: 279.5399475097656
sum_loss: 283.63330078125
sum_loss: 287.3251037597656
sum_loss: 291.0822448730469
sum_loss: 294.7223815917969
sum_loss: 298.553955078125
sum_loss: 301.96978759765625
sum_loss: 305.5519104003906
sum_loss: 308.74810791015625
sum_loss: 311.60205078125
sum_loss: 315.5643310546875
sum_loss: 318.9930725097656
sum_loss: 322.5414123535156
sum_loss: 325.9822692871094
